configuration,state_dimension,n_trajectories,noise,effective_dimension,relative_distance,displacement_ratio,informative_pairs,order_mae,success,abstention
"d=2, non-dissipative",2,64,0.0000,1.6452,0.0109,0.7451,30.0000,0.0000,1.0000,0.0000
"d=2, non-dissipative",2,64,0.0100,1.6452,0.0109,0.7451,19.2500,0.0063,1.0000,0.0000
"d=2, non-dissipative",2,64,0.0300,1.6452,0.0109,0.7451,9.5000,0.0219,1.0000,0.0000
"d=4, non-dissipative",4,64,0.0000,3.4259,0.2359,1.4133,17.0000,nan,nan,1.0000
"d=4, non-dissipative",4,64,0.0100,3.4259,0.2359,1.4133,13.0000,nan,nan,1.0000
"d=4, non-dissipative",4,64,0.0300,3.4259,0.2359,1.4133,4.7500,nan,nan,1.0000
"d=4, slow manifold",4,64,0.0000,2.8543,0.0973,1.2869,30.0000,0.0500,1.0000,0.0000
"d=4, slow manifold",4,64,0.0100,2.8543,0.0973,1.2869,30.0000,0.0219,1.0000,0.0000
"d=4, slow manifold",4,64,0.0300,2.8543,0.0973,1.2869,14.3750,0.0250,1.0000,0.0000
"d=4, strong slow manifold",4,64,0.0000,2.5142,0.0618,1.2601,30.0000,0.1000,0.0000,0.0000
"d=4, strong slow manifold",4,64,0.0100,2.5142,0.0618,1.2601,29.2500,0.0188,1.0000,0.0000
"d=4, strong slow manifold",4,64,0.0300,2.5142,0.0618,1.2601,9.7500,0.0406,0.7500,0.0000
"d=6, slow manifold",6,64,0.0000,4.5723,0.1451,1.7770,21.0000,nan,nan,1.0000
"d=6, slow manifold",6,64,0.0100,4.5723,0.1451,1.7770,18.7500,nan,nan,1.0000
"d=6, slow manifold",6,64,0.0300,4.5723,0.1451,1.7770,4.2500,nan,nan,1.0000
"d=6, strong slow manifold",6,64,0.0000,3.5003,0.0808,1.7900,30.0000,nan,nan,1.0000
"d=6, strong slow manifold",6,64,0.0100,3.5003,0.0808,1.7900,10.7500,nan,nan,1.0000
"d=6, strong slow manifold",6,64,0.0300,3.5003,0.0808,1.7900,0.6250,0.0125,1.0000,0.7500
