n_observations,n_orders,smoothing_s,labels_s,pair_selection_s,profile_s,total_s
606,9,0.0017,0.0024,0.0033,0.0002,0.0076
606,17,0.0017,0.0054,0.0033,0.0003,0.0106
606,25,0.0018,0.0089,0.0033,0.0003,0.0142
606,41,0.0018,0.0119,0.0033,0.0004,0.0175
2412,9,0.0079,0.0068,0.0155,0.0011,0.0314
2412,17,0.0078,0.0142,0.0156,0.0019,0.0395
2412,25,0.0079,0.0304,0.0155,0.0028,0.0566
2412,41,0.0080,0.0392,0.0156,0.0044,0.0672
4824,9,0.0128,0.0077,0.0362,0.0022,0.0589
4824,17,0.0130,0.0157,0.0349,0.0038,0.0673
4824,25,0.0131,0.0243,0.0362,0.0052,0.0787
4824,41,0.0128,0.0409,0.0353,0.0085,0.0975
9624,9,0.0306,0.0371,0.0626,0.0023,0.1326
9624,17,0.0310,0.0732,0.0673,0.0045,0.1760
9624,25,0.0317,0.2506,0.0646,0.0056,0.3525
9624,41,0.0309,0.3138,0.0636,0.0094,0.4177
